Pitcher,TaggedPitchType,RelSpeed,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,SpinAxis,SpinRate,VertApprAngle,HorzApprAngle,PitcherThrows,BatterSide
"Nelson, Drew",ChangeUp,78.72210089285714,14.625499464285713,-15.04403214,6.234112321428571,-0.823318036,5.556670892857142,130.81375262499998,2053.1332907321425,-7.769315804,-1.315678482,Left,Left
"Nelson, Drew",Curveball,71.73808545454546,-14.58007636,11.492241818181817,6.283527272727272,-0.572605455,4.895178181818182,324.93621854545455,2400.026228363636,-10.93088791,1.9159061818181817,Left,Left
"Nelson, Drew",Fastball,87.27309236641221,23.200321984732827,-6.882636183,6.280278015267175,-0.504086183,5.566655954198474,162.5621171908397,2069.977242984733,-5.630115855,-0.246132634,Left,Left
"Nelson, Drew",FourSeamFastBall,87.4468024,23.349416,-4.773216,6.3087064,-0.4875196,5.712498399999999,167.7424287,2093.154272,-5.792565,-0.36295308,Left,Left
"Nelson, Drew",Slider,80.49483611111111,3.031979444444444,5.6601944444444445,6.231870555555556,-0.667124167,5.1024125,253.18008708333335,2352.985763222222,-8.269609389,1.5727452222222222,Left,Left
"Petrovic, Alexander",ChangeUp,80.16266065,4.227153548387097,21.22192064516129,6.007009355,1.6193035483870968,5.931879032258064,262.58086480645164,2402.3316982903225,-8.371083129,0.2617319677419355,Right,Left
"Petrovic, Alexander",Fastball,91.69085891304348,19.316980217391304,13.091673913043477,6.2378854347826085,1.1795091304347824,6.009556956521739,215.6162721304348,2389.415625,-5.222691717,-0.343215065,Right,Left
"Petrovic, Alexander",FourSeamFastBall,92.16358923076922,19.1052,13.42194,6.235588461538462,1.240580769230769,5.906166923076923,216.7807186923077,2462.058463846154,-4.914441231,-0.560021769,Right,Left
"Petrovic, Alexander",Sinker,91.76177,18.98718,8.63489,6.22808,0.9687,6.12882,205.905074,2397.776971,-6.261862,-2.307063,Right,Left
"Petrovic, Alexander",Slider,80.33676,-0.516971818,-5.265162273,6.159996818181818,1.3820686363636363,6.070151818181818,103.32637781818181,2032.521242,-8.586421455,-2.5605725,Right,Left
"Schorr, Ben",ChangeUp,84.02714125,10.10686125,17.27707625,6.23448,1.47827125,5.47154375,243.0435616,1728.733162,-8.03713125,1.038495125,Right,Left
"Schorr, Ben",Curveball,75.903005,-8.096325,-12.2251775,6.3988966666666665,0.6397458333333333,5.5050225,51.24290516666667,2663.762708333333,-10.29827683,-1.343587,Right,Left
"Schorr, Ben",Fastball,90.12187804878049,19.35145780487805,7.171331463414634,6.356323414634146,1.1115670731707317,5.904603658536585,201.73497414634144,2205.848998097561,-5.421873976,-0.101731293,Right,Left
